category,priority,year,month,latitude,longitude,district
DISTURBANCE (OTHER),1,2018,10,29.95186341,-90.1306271,2
AUTO ACCIDENT WITH INJURY,2,2018,10,29.97403555,-90.05027444,5
TRAFFIC INCIDENT,1,2018,10,29.94330301,-90.09280856,6
DISTURBANCE (OTHER),1,2018,10,29.95928167,-90.09361608,1
AREA CHECK,1,2018,10,29.92526581,-90.01301181,4
TRAFFIC INCIDENT,1,2018,10,29.99710658,-90.04464309,3
SUSPICIOUS PERSON,2,2018,10,29.95273601,-90.07073991,8
RETURN FOR ADDITIONAL INFO,1,2018,10,29.95961967,-90.11668053,2
DRIVING WHILE UNDER INFLUENCE,1,2018,10,29.960496,-90.08790943,1
BUSINESS CHECK,1,2018,10,29.97236545,-90.09792744,1
AREA CHECK,1,2018,10,29.94918239,-90.09833365,6
TRAFFIC INCIDENT,1,2018,10,29.97093102,-90.06697126,1
DISTURBANCE (OTHER),1,2018,10,29.98344678,-90.06640836,5
COMPLAINT OTHER,1,2018,10,29.95369143,-90.07006492,8
AREA CHECK,1,2018,10,29.95355264,-90.05467623,4
COMPLAINT OTHER,1,2018,10,29.97184167,-90.04000405,5
WARR STOP WITH RELEASE,0,2018,10,29.95542795,-90.06687159,8
AREA CHECK,1,2018,10,30.01375424,-90.10368556,3
DISTURBANCE (OTHER),1,2018,10,29.95387931,-90.06989927,8
SUSPICIOUS PERSON,2,2018,10,29.93765009,-90.08364114,6
AREA CHECK,1,2018,10,30.01902737,-90.09979765,3
"SIMPLE ROBBERY, PROPERTY SNATCHING",1,2018,10,29.95470912,-90.06915346,8
COMPLAINT OTHER,1,2018,10,29.92004375,-90.12905333,2
AREA CHECK,1,2018,10,29.91452586,-90.00944238,4
TRAFFIC INCIDENT,1,2018,10,29.94574979,-90.11395348,2
FIGHT,2,2018,10,29.97326333,-90.05734351,5
BUSINESS CHECK,1,2018,10,29.94570376,-90.08963864,6
AREA CHECK,1,2018,10,30.01940759,-90.10403038,3
AREA CHECK,1,2018,10,29.96602949,-90.06361383,1
AREA CHECK,1,2018,10,30.00838659,-90.12129205,3
DOMESTIC DISTURBANCE,2,2018,10,29.97223134,-90.12215319,3
DISTURBANCE (OTHER),1,2018,10,29.94525775,-90.13371102,2
AREA CHECK,1,2018,10,29.9243165,-90.01376151,4
DOMESTIC DISTURBANCE,2,2018,10,29.93500762,-90.09371869,6
MEDICAL,2,2018,10,0,0,8
AREA CHECK,1,2018,10,29.90129177,-90.00363526,4
RETURN FOR ADDITIONAL INFO,1,2018,10,29.95571799,-90.07260091,8
AREA CHECK,1,2018,10,30.01546758,-90.10246833,3
"BURGLAR ALARM, SILENT",2,2018,10,29.90073823,-89.93907046,4
SUSPICIOUS PERSON,2,2018,10,30.02290325,-89.96841012,7
SUSPICIOUS PERSON,1,2018,10,29.94675355,-90.06721699,8
COMPLAINT OTHER,1,2018,10,29.92604109,-90.09596403,6
AREA CHECK,1,2018,10,30.01859747,-90.12045287,3
DISTURBANCE (OTHER),2,2018,10,29.92549427,-90.09262434,6
BUSINESS CHECK,1,2018,10,29.95832894,-90.06511859,8
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,30.04825109,-89.95958404,7
RETURN FOR ADDITIONAL INFO,1,2018,10,29.95542795,-90.06687159,8
"BURGLAR ALARM, SILENT",1,2018,10,29.96367423,-90.05765374,8
"BURGLAR ALARM, SILENT",2,2018,10,29.96669026,-90.03859332,5
"SIMPLE ROBBERY, PROPERTY SNATCHING",2,2018,10,29.95470912,-90.06915346,8
AREA CHECK,1,2018,10,30.01838385,-90.1051636,3
AREA CHECK,1,2018,10,30.01517973,-90.09912056,3
AREA CHECK,1,2018,10,29.96699357,-90.06800592,1
COMPLAINT OTHER,1,2018,10,29.95860764,-90.06566871,8
DOMESTIC DISTURBANCE,2,2018,10,30.02138074,-90.02040801,7
DIRECTED PATROL,1,2018,10,29.92180598,-90.02241945,4
COMPLAINT OTHER,1,2018,10,29.95884115,-90.07042591,1
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,29.93926532,-90.09597022,6
COMPLAINT OTHER,1,2018,10,29.96258608,-90.07459128,1
BUSINESS BURGLARY,1,2018,10,29.95600849,-90.0649909,8
COMPLAINT OTHER,1,2018,10,29.96700366,-90.10875278,2
FIGHT,2,2018,10,29.96315605,-90.05786547,8
SUSPICIOUS PERSON,2,2018,10,29.9812809,-90.04193257,5
COMPLAINT OTHER,1,2018,10,29.95032257,-90.06629572,8
WALKING BEAT,1,2018,10,29.93400616,-90.08061222,6
AREA CHECK,1,2018,10,29.98357241,-90.12260228,3
TRAFFIC INCIDENT,1,2018,10,29.94457915,-90.09055012,6
RETURN FOR ADDITIONAL INFO,1,2018,10,29.94635443,-90.07406417,8
AREA CHECK,1,2018,10,29.92113639,-90.01294142,4
DISCHARGING FIREARM,2,2018,10,29.9564269,-90.02336545,5
AREA CHECK,1,2018,10,30.01212992,-90.10590817,3
AREA CHECK,1,2018,10,29.93292158,-90.07967649,6
TRAFFIC INCIDENT,1,2018,10,30.00714396,-90.04769642,3
AREA CHECK,1,2018,10,30.01902737,-90.09979765,3
AREA CHECK,1,2018,10,29.92951263,-90.01242069,4
AREA CHECK,1,2018,10,29.95684573,-90.11161783,2
MENTAL PATIENT,2,2018,10,0,0,5
TRAFFIC INCIDENT,1,2018,10,29.96701662,-90.04055073,5
THEFT,1,2018,10,29.95039496,-90.07007419,8
AREA CHECK,1,2018,10,30.02002615,-90.1125062,3
AREA CHECK,1,2018,10,30.01384161,-90.10468918,3
RETURN FOR ADDITIONAL INFO,1,2018,10,29.95996774,-90.10840522,2
BUSINESS CHECK,1,2018,10,29.9462197,-90.11341401,2
AREA CHECK,1,2018,10,29.96413298,-90.07304389,1
BUSINESS CHECK,1,2018,10,29.92152639,-90.01369888,4
AREA CHECK,1,2018,10,30.03115205,-89.99442124,7
TRAFFIC INCIDENT,1,2018,10,29.96913198,-90.05027817,5
COMPLAINT OTHER,1,2018,10,30.04355749,-89.96173256,7
AREA CHECK,1,2018,10,29.9408269,-90.09759204,2
AREA CHECK,1,2018,10,29.94263096,-90.09681571,6
AREA CHECK,1,2018,10,30.01184989,-90.10289097,3
LOST PROPERTY,0,2018,10,29.95473409,-90.06900222,8
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,30.04825109,-89.95958404,7
TRAFFIC INCIDENT,1,2018,10,30.00385895,-90.03997911,3
MENTAL PATIENT,2,2018,10,0,0,5
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,29.93926532,-90.09597022,6
MEDICAL,2,2018,10,0,0,8
MENTAL PATIENT,2,2018,10,0,0,1
SUICIDE THREAT,2,2018,10,0,0,7
WARR STOP WITH RELEASE,0,2018,10,30.00714396,-90.04769642,3
WARR STOP WITH RELEASE,0,2018,10,30.00714396,-90.04769642,3
AREA CHECK,1,2018,10,29.92820594,-90.09132645,6
"BURGLAR ALARM, SILENT",2,2018,10,29.96975287,-90.06694867,1
AREA CHECK,1,2018,10,30.01031852,-90.10611132,3
"BURGLAR ALARM, SILENT",2,2018,10,29.96944574,-90.09065822,1
AREA CHECK,1,2018,10,29.92773897,-90.00890246,4
COMPLAINT OTHER,1,2018,10,30.00077099,-90.06299414,3
AREA CHECK,1,2018,10,30.01417363,-90.11249421,3
SUSPICIOUS PERSON,2,2018,10,29.96932619,-90.06839956,1
AREA CHECK,1,2018,10,30.01184989,-90.10289097,3
DIRECTED PATROL,1,2018,10,29.97101094,-90.06457828,5
COMPLAINT OTHER,1,2018,10,29.9536437,-90.07036105,8
FIGHT,2,2018,10,29.96673804,-90.06841864,1
AREA CHECK,1,2018,10,30.01754024,-90.10526089,3
TRAFFIC INCIDENT,1,2018,10,29.95767226,-90.06783749,8
COMPLAINT OTHER,1,2018,10,29.95767226,-90.06783749,8
COMPLAINT OTHER,1,2018,10,29.92426078,-90.0966892,6
AREA CHECK,1,2018,10,29.94863413,-90.04819386,4
RECOVERY OF REPORTED STOLEN VEHICLE,1,2018,10,30.00077099,-90.06299414,3
DIRECTED PATROL,1,2018,10,29.96577389,-90.03536458,5
AREA CHECK,1,2018,10,29.90643251,-89.99434358,4
AREA CHECK,1,2018,10,30.00892167,-90.11091451,3
AREA CHECK,1,2018,10,29.9689782,-90.10620452,1
AREA CHECK,1,2018,10,29.91452586,-90.00944238,4
BUSINESS CHECK,1,2018,10,29.97525546,-90.09007114,1
AREA CHECK,1,2018,10,30.01564947,-90.10447808,3
MUNICIPAL ATTACHMENT,1,2018,10,29.96026084,-90.09482562,1
MUNICIPAL ATTACHMENT,1,2018,10,29.96026084,-90.09482562,1
MUNICIPAL ATTACHMENT,1,2018,10,29.96026084,-90.09482562,1
MUNICIPAL ATTACHMENT,1,2018,10,29.96026084,-90.09482562,1
MUNICIPAL ATTACHMENT,1,2018,10,29.96026084,-90.09482562,1
PICKPOCKET,1,2018,10,29.95468947,-90.06928432,8
MENTAL PATIENT,2,2018,10,0,0,1
HIT & RUN,1,2018,10,29.96159187,-90.10080223,6
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,29.98921245,-90.07115355,3
AREA CHECK,1,2018,10,29.99387988,-90.07578706,3
AREA CHECK,1,2018,10,30.00559371,-90.1157963,3
AREA CHECK,1,2018,10,29.92773459,-90.03057863,4
AREA CHECK,1,2018,10,29.96888705,-90.07479905,1
AREA CHECK,1,2018,10,29.96876693,-90.05327798,5
AREA CHECK,1,2018,10,29.92855441,-90.03252086,4
MEDICAL,2,2018,10,0,0,6
MEDICAL,2,2018,10,0,0,2
AREA CHECK,1,2018,10,29.97072648,-90.09552366,1
AREA CHECK,1,2018,10,29.977257,-90.10701992,3
AREA CHECK,1,2018,10,30.01838385,-90.1051636,3
"OBSCENITY, EXPOSING",1,2018,10,29.95948599,-90.06488474,8
DIRECTED PATROL,1,2018,10,29.96289332,-90.05200555,5
AREA CHECK,1,2018,10,30.0066266,-90.10554126,3
"BURGLAR ALARM, SILENT",2,2018,10,30.02678595,-90.07508234,3
TRAFFIC INCIDENT,1,2018,10,30.00698011,-90.06121114,3
TOW IMPOUNDED VEHICLE (PRIVATE),0,2018,10,30.02021461,-89.99183238,7
TRAFFIC INCIDENT,1,2018,10,30.02607893,-90.01038812,7
SIMPLE ROBBERY,2,2018,10,29.97326333,-90.05734351,5
SIMPLE BATTERY DOMESTIC,2,2018,10,29.95498802,-90.06934938,8
AREA CHECK,1,2018,10,30.01573368,-90.10368104,3
BUSINESS CHECK,1,2018,10,29.94639041,-90.08937605,6
SUSPICIOUS PERSON,2,2018,10,30.02294459,-90.11368599,3
SUSPICIOUS PERSON,2,2018,10,30.00077099,-90.06299414,3
RETURN FOR ADDITIONAL INFO,1,2018,10,30.00077099,-90.06299414,3
WARR STOP WITH RELEASE,0,2018,10,29.94574979,-90.11395348,2
WARR STOP WITH RELEASE,0,2018,10,29.94574979,-90.11395348,2
RESIDENCE CHECK,1,2018,10,29.97968497,-90.09255484,1
COMPLAINT OTHER,1,2018,10,29.94396022,-90.03537386,4
BUSINESS CHECK,1,2018,10,29.95598452,-90.12008229,2
AREA CHECK,1,2018,10,29.9412094,-90.0975965,2
HIT & RUN,1,2018,10,30.0164746,-90.02023541,7
DOMESTIC DISTURBANCE,2,2018,10,30.01677154,-90.0472279,3
TRAFFIC INCIDENT,1,2018,10,30.01659319,-89.97550244,7
AREA CHECK,1,2018,10,29.95081308,-90.10813951,2
THEFT,0,2018,10,29.94619458,-90.07857132,6
COMPLAINT OTHER,1,2018,10,29.92620984,-90.02576779,4
DIRECTED PATROL,1,2018,10,29.92180598,-90.02241945,4
RETURN FOR ADDITIONAL INFO,1,2018,10,29.97062974,-90.03445086,5
AREA CHECK,1,2018,10,30.0085128,-90.10633757,3
AREA CHECK,1,2018,10,30.01201915,-90.10399973,3
AREA CHECK,1,2018,10,29.97963638,-90.10615939,3
AREA CHECK,1,2018,10,29.94859055,-90.04708839,4
AREA CHECK,1,2018,10,29.93529938,-90.08458544,6
DIRECTED PATROL,1,2018,10,29.96559204,-90.03541993,5
WALKING BEAT,1,2018,10,29.95039448,-90.09200968,6
AREA CHECK,1,2018,10,29.95501184,-90.04668268,4
SUSPICIOUS PERSON,2,2018,10,29.96525544,-90.06954987,1
TRAFFIC INCIDENT,1,2018,10,30.01560278,-90.06079683,3
AREA CHECK,1,2018,10,30.01357483,-90.10170749,3
FIGHT,2,2018,10,29.95525034,-90.07015949,8
"BURGLAR ALARM, SILENT",2,2018,10,29.96525536,-90.12627267,2
SUSPICIOUS PERSON,2,2018,10,29.93540389,-90.12716963,2
DISTURBANCE (OTHER),1,2018,10,29.93783517,-90.08215728,6
AREA CHECK,1,2018,10,29.92113639,-90.01294142,4
COMPLAINT OTHER,1,2018,10,29.93924581,-90.09695023,2
AREA CHECK,1,2018,10,29.93124661,-90.00932661,4
AREA CHECK,1,2018,10,29.93478472,-90.01143044,4
TRAFFIC INCIDENT,1,2018,10,30.00704087,-90.03721684,3
AUTO THEFT,0,2018,10,30.0306218,-89.99506029,7
BUSINESS CHECK,1,2018,10,30.02838939,-89.99307969,7
"BURGLAR ALARM, SILENT",2,2018,10,29.92754632,-90.06730046,6
AREA CHECK,1,2018,10,30.0322634,-90.01359851,7
AREA CHECK,1,2018,10,29.97525546,-90.09007114,1
"BURGLAR ALARM, SILENT",2,2018,10,29.94492104,-90.04233918,4
SUSPICIOUS PERSON,2,2018,10,29.96893285,-90.07914961,1
DISTURBANCE (OTHER),1,2018,10,29.95032257,-90.06629572,8
TRAFFIC INCIDENT,1,2018,10,30.00540199,-90.03638978,3
AUTO ACCIDENT,1,2018,10,30.0139102,-90.01343096,7
MUNICIPAL ATTACHMENT,1,2018,10,29.96026084,-90.09482562,1
COMPLAINT OTHER,1,2018,10,29.98039035,-90.1122454,3
